year,doy,site,plot,spp,wt-g
1998,280,ems,B5,w.oak,0
1998,280,ems,B5,r.maple,5.15
1998,280,ems,B5,str.maple,0
1998,280,ems,B5,beech,0
1998,280,ems,B5,birch,1.72
1998,280,ems,B5,hemlock,0
1998,280,ems,B5,spruce,0
1998,280,ems,B5,r.pine,0
1998,280,ems,B5,w.pine,0
1998,280,ems,B5,cherry,0
1998,280,ems,B5,w.hazel,0
1998,280,ems,B5,chestnut,0
1998,280,ems,B5,ash,0
1998,280,ems,B5,unknown,0
1998,280,ems,C1,oak,6.47
1998,280,ems,C1,w.oak,0
1998,280,ems,C1,r.maple,3.94
1998,280,ems,C1,str.maple,0
1998,280,ems,C1,beech,0
1998,280,ems,C1,birch,2.14
1998,280,ems,C1,hemlock,0
1998,280,ems,C1,spruce,0
1998,280,ems,C1,r.pine,0
1998,280,ems,C1,w.pine,0
1998,280,ems,C1,cherry,0
1998,280,ems,C1,w.hazel,0
1998,280,ems,C1,chestnut,0
1998,280,ems,C1,ash,0
1998,280,ems,C1,unknown,0.86
1998,280,ems,C2,oak,0.062
1998,280,ems,C2,w.oak,0
1998,280,ems,C2,r.maple,15.15
1998,280,ems,C2,str.maple,0
1998,280,ems,C2,beech,0
1998,280,ems,C2,birch,3.4
1998,280,ems,C2,hemlock,0
1998,280,ems,C2,spruce,0
1998,280,ems,C2,r.pine,0
1998,280,ems,C2,w.pine,0.005
1998,280,ems,C2,cherry,0
1998,280,ems,C2,w.hazel,0
1998,280,ems,C2,chestnut,0
1998,280,ems,C2,ash,2.1
1998,280,ems,C2,unknown,0
1998,280,ems,C3,oak,0.494
1998,280,ems,C3,w.oak,0
